,VEHICLE_SIZE,VEHICLE_BUILD_UP,FIRST_COLLECTION_POST_CODE,LAST_DELIVERY_POST_CODE,FIRST_COLLECTION_LATITUDE,FIRST_COLLECTION_LONGITUDE,LAST_DELIVERY_LATITUDE,LAST_DELIVERY_LONGITUDE,FIRST_COLLECTION_SCHEDULE_LATEST_lcl,LAST_DELIVERY_SCHEDULE_LATEST_lcl,Model_Target,CARRIER_SIZE,CARRIER_EFFICIENCY,distance,region_delivery,region_collection,parish_delivery,parish_collection
0,Tractor Unit,Curtain Side,MK42 0PE,M11 4BD,52.11951,-0.429752,53.483017,-2.193588,2023-12-12 15:00:00+00:00,2023-12-12 20:00:00+00:00,1,SMALL,OKAY,192.52509851891716,North West,East of England,"Manchester, unparished area",Shortstown
1,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,CV10 7SD,52.800481,-1.663328,52.49617,-1.477705,2023-10-02 12:00:00+00:00,2023-10-02 12:00:00+00:00,0,SMALL,BAD,36.09196818388615,West Midlands,West Midlands,"Nuneaton and Bedworth, unparished area",Shobnall
2,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,B69 3EH,52.800481,-1.663328,52.509485,-2.020513,2023-10-05 16:00:00+00:00,2023-10-05 16:00:00+00:00,0,SMALL,BAD,40.35439270561482,West Midlands,West Midlands,"Sandwell, unparished area",Shobnall
3,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,PA4 8DJ,52.800481,-1.663328,55.873398,-4.404767,2023-10-02 13:30:00+00:00,2023-10-03 08:00:00+00:00,0,VERY SMALL,OKAY,385.19747245750136,,West Midlands,,Shobnall
4,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,SO16 0AW,52.800481,-1.663328,50.933604,-1.471132,2023-10-03 18:00:00+00:00,2023-10-04 06:00:00+00:00,0,VERY SMALL,OKAY,208.07136356672484,South East,West Midlands,Nursling and Rownhams,Shobnall
5,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,HA4 0HG,52.800481,-1.663328,51.557511,-0.397204,2023-10-04 15:00:00+00:00,2023-10-05 10:00:00+00:00,1,VERY SMALL,OKAY,163.00345478777302,London,West Midlands,"Hillingdon, unparished area",Shobnall
6,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,ML1 5GH,52.690284,-1.548894,55.83161,-3.935916,2023-10-04 13:30:00+00:00,2023-10-05 11:00:00+00:00,1,VERY SMALL,OKAY,382.2223334103553,,East Midlands,,Stretton en le Field
7,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,CR0 3AF,52.800481,-1.663328,51.390138,-0.132691,2023-10-09 11:30:00+00:00,2023-10-10 11:30:00+00:00,0,VERY SMALL,BAD,188.5344240650615,London,West Midlands,"Croydon, unparished area",Shobnall
8,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,ME10 2FD,52.690284,-1.548894,51.371411,0.745506,2023-10-11 06:00:00+00:00,2023-10-11 12:40:00+00:00,0,SMALL,OKAY,214.85947299128424,South East,East Midlands,"Swale, unparished area",Stretton en le Field
9,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,DA2 6QR,52.690284,-1.548894,51.457403,0.258376,2023-10-11 14:30:00+00:00,2023-10-12 07:00:00+00:00,1,VERY SMALL,OKAY,184.57425782255675,South East,East Midlands,Stone,Stretton en le Field
10,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,B11 2BH,52.800481,-1.663328,52.457304,-1.838779,2023-10-11 14:30:00+00:00,2023-10-12 07:00:00+00:00,1,SMALL,BAD,39.96717087572929,West Midlands,West Midlands,"Birmingham, unparished area",Shobnall
11,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,SS17 9DY,52.800481,-1.663328,51.510091,0.459598,2023-10-11 14:30:00+00:00,2023-10-12 08:00:00+00:00,0,VERY SMALL,OKAY,203.91715136957512,East of England,West Midlands,"Thurrock, unparished area",Shobnall
12,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,RM18 7NL,52.800481,-1.663328,51.455117,0.369212,2023-10-11 14:30:00+00:00,2023-10-12 09:00:00+00:00,1,VERY SMALL,OKAY,204.08275177870524,East of England,West Midlands,"Thurrock, unparished area",Shobnall
13,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,ME10 2FD,52.690284,-1.548894,51.371411,0.745506,2023-10-13 11:00:00+00:00,2023-10-13 17:40:00+00:00,0,SMALL,OKAY,214.85947299128424,South East,East Midlands,"Swale, unparished area",Stretton en le Field
14,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,WF2 0XE,52.690284,-1.548894,53.713695,-1.519842,2023-10-13 16:00:00+00:00,2023-10-16 06:40:00+00:00,1,VERY SMALL,BAD,113.85028750981377,Yorkshire and The Humber,East Midlands,"Wakefield, unparished area",Stretton en le Field
15,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,WA11 9LW,52.800481,-1.663328,53.468768,-2.729248,2023-10-16 06:00:00+00:00,2023-10-16 10:00:00+00:00,0,SMALL,OKAY,102.88075752316595,North West,West Midlands,"St. Helens, unparished area",Shobnall
16,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,ME10 2FD,52.690284,-1.548894,51.371411,0.745506,2023-10-16 14:09:00+00:00,2023-10-17 07:40:00+00:00,1,VERY SMALL,OKAY,214.85947299128424,South East,East Midlands,"Swale, unparished area",Stretton en le Field
17,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,BN1 8AF,52.800481,-1.663328,50.86906,-0.12205,2023-10-16 12:30:00+00:00,2023-10-17 16:00:00+00:00,0,VERY SMALL,OKAY,239.51695238235322,South East,West Midlands,"Brighton and Hove, unparished area",Shobnall
18,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,CV9 2SQ,52.690284,-1.548894,52.583936,-1.557171,2023-10-17 14:30:00+00:00,2023-10-18 11:00:00+00:00,1,SMALL,BAD,11.842257237630939,West Midlands,East Midlands,Atherstone,Stretton en le Field
19,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,TS18 2PB,52.690284,-1.548894,54.570739,-1.285021,2023-10-17 15:30:00+00:00,2023-10-18 07:40:00+00:00,1,MEDIUM,BAD,209.885147470731,North East,East Midlands,"Stockton-on-Tees, unparished area",Stretton en le Field
20,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,ME10 2FD,52.800481,-1.663328,51.371411,0.745506,2023-10-18 13:30:00+00:00,2023-10-19 08:40:00+00:00,0,VERY SMALL,OKAY,228.82790182274266,South East,West Midlands,"Swale, unparished area",Shobnall
21,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,NN15 5YT,52.800481,-1.663328,52.370504,-0.684925,2023-10-19 06:00:00+00:00,2023-10-19 09:20:00+00:00,0,SMALL,OKAY,81.60370805422174,East Midlands,West Midlands,Burton Latimer,Shobnall
22,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,NN15 5YT,52.800481,-1.663328,52.370504,-0.684925,2023-10-18 13:30:00+00:00,2023-10-19 12:00:00+00:00,0,SMALL,BAD,81.60370805422174,East Midlands,West Midlands,Burton Latimer,Shobnall
23,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,EN9 3BZ,52.800481,-1.663328,51.679126,-0.001579,2023-10-19 13:00:00+00:00,2023-10-19 16:00:00+00:00,1,SMALL,OKAY,168.41949286157333,East of England,West Midlands,Waltham Abbey,Shobnall
24,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,B66 1QG,52.800481,-1.663328,52.505017,-1.996833,2023-10-20 07:00:00+00:00,2023-10-20 11:00:00+00:00,0,SMALL,BAD,39.830729599544725,West Midlands,West Midlands,"Sandwell, unparished area",Shobnall
25,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,WS10 0TB,52.800481,-1.663328,52.553927,-1.987756,2023-10-20 04:00:00+00:00,2023-10-20 07:00:00+00:00,0,SMALL,BAD,35.08242964918954,West Midlands,West Midlands,"Sandwell, unparished area",Shobnall
26,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,WF2 0XE,52.800481,-1.663328,53.713695,-1.519842,2023-10-19 14:30:00+00:00,2023-10-20 10:40:00+00:00,1,SMALL,BAD,102.02430557883463,Yorkshire and The Humber,West Midlands,"Wakefield, unparished area",Shobnall
27,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,WA11 9WB,52.800481,-1.663328,53.476506,-2.655024,2023-10-20 06:00:00+00:00,2023-10-20 07:00:00+00:00,0,SMALL,BAD,100.16157294314445,North West,West Midlands,"St. Helens, unparished area",Shobnall
28,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,WA11 9WB,52.800481,-1.663328,53.476506,-2.655024,2023-10-20 12:00:00+00:00,2023-10-20 13:00:00+00:00,0,SMALL,BAD,100.16157294314445,North West,West Midlands,"St. Helens, unparished area",Shobnall
29,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,SA6 8PJ,52.800481,-1.663328,51.665609,-3.912027,2023-10-20 06:00:00+00:00,2023-10-20 07:00:00+00:00,1,SMALL,BAD,198.48031426420997,,West Midlands,Llansamlet,Shobnall
30,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,DA11 9BU,52.800481,-1.663328,51.444403,0.343805,2023-10-20 13:30:00+00:00,2023-10-23 08:15:00+00:00,0,VERY SMALL,OKAY,203.79872550240273,South East,West Midlands,"Gravesham, unparished area",Shobnall
31,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 1PT,BT26 6JJ,52.811918,-1.630808,54.474078,-6.104285,2023-10-24 07:00:00+00:00,2023-10-24 08:00:00+00:00,1,VERY SMALL,BAD,348.02739004829306,,West Midlands,,Burton
32,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,ME10 2FD,52.800481,-1.663328,51.371411,0.745506,2023-10-23 00:15:00+00:00,2023-10-23 05:40:00+00:00,0,SMALL,OKAY,228.82790182274266,South East,West Midlands,"Swale, unparished area",Shobnall
33,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,PE7 3AG,52.800481,-1.663328,52.53299,-0.30723,2023-10-20 12:30:00+00:00,2023-10-23 08:00:00+00:00,0,VERY SMALL,OKAY,96.19131435651667,East of England,West Midlands,"Peterborough, unparished area",Shobnall
34,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,LS13 4LQ,52.800481,-1.663328,53.804746,-1.649678,2023-10-23 14:30:00+00:00,2023-10-24 12:00:00+00:00,1,MEDIUM,BAD,111.70791259451777,Yorkshire and The Humber,West Midlands,,Shobnall
35,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,NN15 5YT,52.690284,-1.548894,52.370504,-0.684925,2023-10-23 15:00:00+00:00,2023-10-24 06:20:00+00:00,0,VERY SMALL,GOOD,68.43063350474523,East Midlands,East Midlands,Burton Latimer,Stretton en le Field
36,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,HU14 3HJ,52.800481,-1.663328,53.721731,-0.535025,2023-10-25 05:00:00+00:00,2023-10-25 09:00:00+00:00,0,SMALL,OKAY,127.02336493805169,Yorkshire and The Humber,West Midlands,Welton,Shobnall
37,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,WA5 3XA,52.800481,-1.663328,53.407297,-2.661854,2023-10-25 15:00:00+00:00,2023-10-26 10:00:00+00:00,1,SMALL,BAD,94.87690105077611,North West,West Midlands,Great Sankey,Shobnall
38,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,WA5 3XA,52.800481,-1.663328,53.407297,-2.661854,2023-10-25 16:30:00+00:00,2023-10-26 10:00:00+00:00,0,SMALL,BAD,94.87690105077611,North West,West Midlands,Great Sankey,Shobnall
39,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,WA5 3XA,52.800481,-1.663328,53.407297,-2.661854,2023-10-25 21:00:00+00:00,2023-10-26 10:00:00+00:00,1,SMALL,BAD,94.87690105077611,North West,West Midlands,Great Sankey,Shobnall
40,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,NE38 8NW,52.800481,-1.663328,54.88997,-1.501427,2023-10-25 17:00:00+00:00,2023-10-26 10:00:00+00:00,1,MEDIUM,BAD,232.65604133439476,North East,West Midlands,"Sunderland, unparished area",Shobnall
41,Tractor Unit,Curtain-Side 13.6M Trailer,LS24 9SD,BT26 6JJ,53.886427,-1.271051,54.474078,-6.104285,2023-11-02 07:00:00+00:00,2023-11-03 08:00:00+00:00,1,VERY SMALL,BAD,321.27233850978223,,,,
42,Tractor Unit,Curtain-Side 13.6M Trailer,BT26 6JJ,LS24 9SD,54.474078,-6.104285,53.886427,-1.271051,2023-11-06 08:00:00+00:00,2023-11-06 09:00:00+00:00,1,VERY SMALL,BAD,321.27233850978223,,,,
43,Tractor Unit,Curtain-Side 13.6M Trailer,LS24 9SD,BT26 6JJ,53.886427,-1.271051,54.474078,-6.104285,2023-11-03 07:00:00+00:00,2023-11-03 08:00:00+00:00,1,VERY SMALL,BAD,321.27233850978223,,,,
44,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 1PT,BT26 6JJ,52.811918,-1.630808,54.474078,-6.104285,2023-11-03 07:00:00+00:00,2023-11-03 08:00:00+00:00,0,VERY SMALL,BAD,348.02739004829306,,West Midlands,,Burton
45,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,NE11 0RQ,52.800481,-1.663328,54.940326,-1.617581,2023-11-06 10:00:00+00:00,2023-11-06 11:00:00+00:00,1,MEDIUM,BAD,238.0334961951018,North East,West Midlands,"Gateshead, unparished area",Shobnall
46,Tractor Unit,Curtain-Side 13.6M Trailer,LS24 9SD,BT26 6JJ,53.886427,-1.271051,54.474078,-6.104285,2023-11-07 07:00:00+00:00,2023-11-07 08:00:00+00:00,1,VERY SMALL,BAD,321.27233850978223,,,,
47,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,TA6 4FG,52.690284,-1.548894,51.155543,-2.983834,2023-11-06 14:56:00+00:00,2023-11-07 07:00:00+00:00,1,SMALL,BAD,197.04575071786778,South West,East Midlands,Bridgwater Without,Stretton en le Field
48,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,TA6 4FG,52.690284,-1.548894,51.155543,-2.983834,2023-11-06 15:00:00+00:00,2023-11-07 08:40:00+00:00,0,SMALL,BAD,197.04575071786778,South West,East Midlands,Bridgwater Without,Stretton en le Field
49,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,CF11 8TS,52.800481,-1.663328,51.459807,-3.195345,2023-11-07 13:30:00+00:00,2023-11-08 11:30:00+00:00,1,SMALL,BAD,182.1453279407551,,West Midlands,Grangetown,Shobnall
50,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,SN3 4FN,52.800481,-1.663328,51.595572,-1.740649,2023-11-08 14:18:00+00:00,2023-11-09 09:30:00+00:00,1,SMALL,BAD,134.12543579305833,South West,West Midlands,South Marston,Shobnall
