,VEHICLE_SIZE,VEHICLE_BUILD_UP,FIRST_COLLECTION_POST_CODE,LAST_DELIVERY_POST_CODE,FIRST_COLLECTION_LATITUDE,FIRST_COLLECTION_LONGITUDE,LAST_DELIVERY_LATITUDE,LAST_DELIVERY_LONGITUDE,FIRST_COLLECTION_SCHEDULE_LATEST_lcl,LAST_DELIVERY_SCHEDULE_LATEST_lcl,CARRIER_SIZE,CARRIER_EFFICIENCY,distance,region_delivery,region_collection,parish_delivery,parish_collection
1,Tractor Unit,Curtain-Side 13.6M Trailer,LS24 9SD,BT26 6JJ,53.882244,-1.267537,54.474078,-6.104285,2024-01-16 07:00:00+00:00,2024-01-16 08:00:00+00:00,VERY SMALL,BAD,321.60654267736885,,,,
4,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,BT36 7LQ,53.293393,-1.074008,54.664518,-5.932184,2024-01-11 06:59:00+00:00,2024-01-15 07:55:00+00:00,VERY SMALL,GOOD,352.38407011833567,,East Midlands,,
6,Tractor Unit,Mega / High Cube Trailer,DN15 9YA,BT36 4PX,53.620347,-0.665131,54.671797,-6.000939,2024-01-13 06:30:00+00:00,2024-01-13 19:00:00+00:00,UNKNOWN_1,UNKNOWN_2,366.6625602438322,,Yorkshire and The Humber,,Flixborough
7,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,OX11 7HJ,53.295391,-1.066283,51.619116,-1.256855,2024-01-17 06:56:00+00:00,2024-01-17 13:17:00+00:00,VERY SMALL,GOOD,186.89846591141176,South East,East Midlands,Sutton Courtenay,
8,3.5 T Van,Box,ME16 0LE,OX26 6WD,51.292639,0.493261,51.8925,-1.154503,2024-01-12 14:00:00+00:00,2024-01-15 09:30:00+00:00,UNKNOWN_1,UNKNOWN_2,131.9674738990102,South East,South East,,Aylesford
9,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,DA2 6QL,53.295391,-1.066283,51.453485,0.256436,2024-01-10 10:56:00+00:00,2024-01-10 17:17:00+00:00,MEDIUM,OKAY,223.689395997637,South East,East Midlands,Stone,
10,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-12 06:02:00+00:00,2024-01-12 12:00:00+00:00,VERY SMALL,GOOD,198.05846923330537,East Midlands,South West,,Coleford
11,Tractor Unit,Curtain-Side 13.6M Trailer,NG13 0EP,S43 3FG,52.958017,-0.793071,53.258602,-1.320728,2024-01-11 13:00:00+00:00,2024-01-11 19:00:00+00:00,MEDIUM,BAD,48.571025066642214,East Midlands,East Midlands,Staveley,Bottesford
12,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,HU14 3HJ,53.462845,-2.896967,53.720887,-0.534769,2024-01-16 03:01:00+00:00,2024-01-16 08:25:00+00:00,UNKNOWN_1,UNKNOWN_2,158.56036952919243,Yorkshire and The Humber,North West,Welton,"Liverpool, unparished area"
13,3.5T Van,LWB Van,CO4 9QJ,CM22 7FD,51.920887,0.927015,51.869555,0.216885,2024-01-19 19:15:00+00:00,2024-01-19 21:15:00+00:00,VERY SMALL,GOOD,49.07645752924135,East of England,East of England,Great Hallingbury,"Colchester, unparished area"
14,Tractor Unit,Curtain-Side 13.6M Trailer,DN11 9HE,CM2 5AE,53.437595,-1.070426,51.748381,0.519226,2024-01-16 16:59:00+00:00,2024-01-17 10:25:00+00:00,UNKNOWN_1,UNKNOWN_2,216.4131314206195,East of England,Yorkshire and The Humber,,Tickhill
15,3.5T Van,LWB Van,SL3 0BB,E1W 2DA,51.470809,-0.514738,51.508022,-0.05711,2024-01-10 06:45:00+00:00,2024-01-10 09:15:00+00:00,SMALL,GOOD,31.963613013455063,London,South East,"Tower Hamlets, unparished area",Colnbrook with Poyle
16,Tractor Unit,Temperature-Controlled,DN15,EN9 3BZ,53.618497,-0.665484,51.678414,-0.006624,2024-01-20 21:30:00+00:00,2024-01-21 03:30:00+00:00,UNKNOWN_1,UNKNOWN_2,220.32530996305232,East of England,,Waltham Abbey,
17,Tractor Unit,Curtain-Side 13.6M Trailer,LE3 8DX,PO3 5JT,52.649535,-1.216071,50.833409,-1.059121,2024-01-16 06:30:00+00:00,2024-01-16 21:00:00+00:00,UNKNOWN_1,UNKNOWN_2,202.29627551336188,South East,East Midlands,"Portsmouth, unparished area",Glenfields
18,Tractor Unit,Curtain-Side 13.6M Trailer,SK16 4UG,LE19 1WY,53.467889,-2.096702,52.601576,-1.18816,2024-01-16 10:30:00+00:00,2024-01-16 17:00:00+00:00,SMALL,OKAY,113.91909259605275,East Midlands,North West,Braunstone,"Tameside, unparished area"
19,Tractor Unit,Curtain-Side 13.6M Trailer,WA7 4HP,BH15 3BN,53.324964,-2.758291,50.736054,-1.988087,2024-01-16 14:00:00+00:00,2024-01-17 12:00:00+00:00,SMALL,BAD,292.74313047096183,South West,North West,"Bournemouth, Christchurch and Poole, unparished area","Halton, unparished area"
20,Tractor Unit,Curtain-Side 13.6M Trailer,GY2 4JN,LE3 8DX,49.481982,-2.543209,52.648951,-1.2175,2024-01-19 06:30:00+00:00,2024-01-19 21:00:00+00:00,UNKNOWN_1,UNKNOWN_2,364.2292230453734,East Midlands,,Glenfields,
21,Tractor Unit,Curtain-Side 13.6M Trailer,OL15 8QF,LE19 1WY,53.634051,-2.1142,52.601576,-1.18816,2024-01-17 10:30:00+00:00,2024-01-17 17:00:00+00:00,SMALL,OKAY,130.421048415095,East Midlands,North West,Braunstone,"Rochdale, unparished area"
22,3.5T Van,Box,S35 2PW,LE3 8DX,53.476537,-1.471065,52.641456,-1.216005,2024-01-15 01:00:00+00:00,2024-01-15 03:30:00+00:00,BIG,GOOD,94.4376775212237,East Midlands,Yorkshire and The Humber,Glenfields,Ecclesfield
23,3.5T Van,Box,S35 2PW,LU5 4TP,53.476537,-1.471065,51.897307,-0.50593,2024-01-19 01:00:00+00:00,2024-01-19 04:30:00+00:00,UNKNOWN_1,UNKNOWN_2,187.318952673672,East of England,Yorkshire and The Humber,Houghton Regis,Ecclesfield
24,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,LU5 4RZ,53.293393,-1.074008,51.893945,-0.518006,2024-01-11 07:59:00+00:00,2024-01-11 14:25:00+00:00,UNKNOWN_1,UNKNOWN_2,160.12828141266917,East of England,East Midlands,Dunstable,
25,Tractor Unit,Box 44ft,BD5 8LZ,HP2 7PZ,53.764125,-1.740145,51.771841,-0.439918,2024-01-14 03:00:00+00:00,2024-01-14 10:46:00+00:00,SMALL,OKAY,238.24175994489434,East of England,Yorkshire and The Humber,"Dacorum, unparished area","Bradford, unparished area"
26,Tractor Unit,Curtain-Side 13.6M Trailer,DG16 5HT,DG1 1SE,55.003467,-3.042858,55.084356,-3.596693,2024-01-15 15:00:00+00:00,2024-01-16 15:59:00+00:00,UNKNOWN_1,UNKNOWN_2,36.42393717157949,,North West,,Kirkandrews
27,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,PA4 8DJ,52.800481,-1.663328,55.873398,-4.404767,2024-01-17 06:00:00+00:00,2024-01-17 06:30:00+00:00,UNKNOWN_1,UNKNOWN_2,385.19747245750136,,West Midlands,,Shobnall
28,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,WV13 2JP,53.295391,-1.066283,52.579178,-2.058159,2024-01-17 11:25:00+00:00,2024-01-17 17:30:00+00:00,VERY SMALL,BAD,103.76510918049763,West Midlands,East Midlands,"Walsall, unparished area",
29,Tractor Unit,Box 44ft,BD5 8LZ,HP2 7PZ,53.764125,-1.740145,51.771841,-0.439918,2024-01-16 18:00:00+00:00,2024-01-17 07:56:00+00:00,SMALL,GOOD,238.24175994489434,East of England,Yorkshire and The Humber,"Dacorum, unparished area","Bradford, unparished area"
30,Tractor Unit,Temperature-Controlled,PE10 0AT,EN9 3BZ,52.768719,-0.35975,51.678414,-0.006624,2024-01-15 09:30:00+00:00,2024-01-15 13:00:00+00:00,UNKNOWN_1,UNKNOWN_2,123.63786052616719,East of England,East Midlands,Waltham Abbey,Bourne
31,Tractor Unit,Box 44ft,BD5 8LZ,RG19 4BQ,53.764125,-1.740145,51.398851,-1.231993,2024-01-16 16:00:00+00:00,2024-01-17 08:56:00+00:00,VERY SMALL,VERY BAD,265.31932768772356,South East,Yorkshire and The Humber,Thatcham,"Bradford, unparished area"
32,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-16 07:17:00+00:00,2024-01-16 13:15:00+00:00,SMALL,BAD,198.05846923330537,East Midlands,South West,,Coleford
33,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,DA2 6QL,53.295391,-1.066283,51.453485,0.256436,2024-01-19 13:56:00+00:00,2024-01-19 21:17:00+00:00,MEDIUM,BAD,223.689395997637,South East,East Midlands,Stone,
34,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,MK42 6EY,53.462845,-2.896967,52.093182,-0.475758,2024-01-12 06:01:00+00:00,2024-01-15 03:55:00+00:00,SMALL,OKAY,223.02057381827956,East of England,North West,Elstow,"Liverpool, unparished area"
35,Tractor Unit,Curtain-Side 13.6M Trailer,WA7 4HP,ML5 4RW,53.324964,-2.758291,55.854774,-4.01629,2024-01-12 14:00:00+00:00,2024-01-15 10:00:00+00:00,UNKNOWN_1,UNKNOWN_2,292.8249712749719,,North West,,"Halton, unparished area"
36,3.5T Van,Box,BD5 8LZ,LE3 8DX,53.765877,-1.742019,52.641456,-1.216005,2024-01-11 01:00:00+00:00,2024-01-12 03:00:00+00:00,BIG,GOOD,129.88528263557134,East Midlands,Yorkshire and The Humber,Glenfields,"Bradford, unparished area"
37,Tractor Unit,Curtain-Side 13.6M Trailer,WA7 4HP,CT16 3FH,53.324964,-2.758291,51.152789,1.304127,2024-01-18 14:00:00+00:00,2024-01-19 11:15:00+00:00,VERY SMALL,OKAY,367.2430737092271,South East,North West,Whitfield,"Halton, unparished area"
38,Tractor Unit,Curtain-Side 13.6M Trailer,DN8 5TE,TN21 8XG,53.566639,-0.919839,50.984912,0.314268,2024-01-19 16:00:00+00:00,2024-01-22 15:59:00+00:00,UNKNOWN_1,UNKNOWN_2,299.18344496929103,South East,Yorkshire and The Humber,Heathfield and Waldron,Hatfield
39,Tractor Unit,Curtain-Side 13.6M Trailer,JE2 3ND,LE3 8DX,49.205063,-2.109092,52.648951,-1.2175,2024-01-19 06:30:00+00:00,2024-01-19 21:00:00+00:00,UNKNOWN_1,UNKNOWN_2,388.1212540218977,East Midlands,,Glenfields,
40,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,RM19 1ND,53.295391,-1.066283,51.480755,0.261461,2024-01-19 17:56:00+00:00,2024-01-20 09:17:00+00:00,VERY SMALL,BAD,221.04244264128144,East of England,East Midlands,"Thurrock, unparished area",
41,Tractor Unit,Curtain-Side 13.6M Trailer,SS17 9DY,NG31 7UH,51.510091,0.459598,52.888113,-0.634948,2024-01-18 09:30:00+00:00,2024-01-18 14:00:00+00:00,SMALL,OKAY,170.47113386560468,East Midlands,East of England,"South Kesteven, unparished area","Thurrock, unparished area"
42,Tractor Unit,Curtain-Side 13.6M Trailer,LE3 8DX,GY2 4JN,52.648951,-1.2175,49.481982,-2.543209,2024-01-16 06:30:00+00:00,2024-01-16 21:00:00+00:00,UNKNOWN_1,UNKNOWN_2,364.2292230453734,,East Midlands,,Glenfields
43,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-13 05:15:00+00:00,2024-01-13 11:15:00+00:00,VERY SMALL,VERY BAD,198.05846923330537,East Midlands,South West,,Coleford
44,3.5T Van,LWB Van,TS17 9NT,DE74 2TR,54.5232,-1.287738,52.829374,-1.332134,2024-01-10 18:50:00+00:00,2024-01-10 22:30:00+00:00,UNKNOWN_1,UNKNOWN_2,188.42667842144587,East Midlands,North East,Castle Donington,Thornaby
45,Tractor Unit,Curtain-Side 13.6M Trailer,DN3 3FG,L11 0JA,53.537133,-1.037405,53.464178,-2.895312,2024-01-15 18:00:00+00:00,2024-01-16 08:00:00+00:00,UNKNOWN_1,UNKNOWN_2,123.18505112288376,North West,Yorkshire and The Humber,"Liverpool, unparished area",Armthorpe
46,Tractor Unit,Curtain-Side 13.6M Trailer,BS20 7XL,CH6 5PU,51.489669,-2.720403,53.236513,-3.104777,2024-01-12 08:30:00+00:00,2024-01-15 07:30:00+00:00,UNKNOWN_1,UNKNOWN_2,196.0465345099233,,South West,Flint,Pill and Easton-in-Gordano
47,3.5T Van,Box,S35 2PW,OX26 4SS,53.476537,-1.471065,51.880152,-1.126155,2024-01-10 23:59:24+00:00,2024-01-11 03:30:00+00:00,UNKNOWN_1,UNKNOWN_2,179.08199000426322,South East,Yorkshire and The Humber,,Ecclesfield
48,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,EH54 8TB,53.295391,-1.066283,55.902768,-3.581976,2024-01-17 06:56:00+00:00,2024-01-17 16:17:00+00:00,VERY SMALL,GOOD,332.1927896465237,,East Midlands,,
49,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,NN4 9BB,53.293393,-1.074008,52.219429,-0.945841,2024-01-12 13:15:00+00:00,2024-01-12 13:25:00+00:00,VERY SMALL,BAD,119.76794727557524,East Midlands,East Midlands,Hunsbury Meadows,
50,Tractor Unit,Curtain-Side 13.6M Trailer,CV23,G75 0ZZ,52.404024,-1.241116,55.736183,-4.167971,2024-01-18 17:00:00+00:00,2024-01-18 23:59:00+00:00,MEDIUM,OKAY,416.881387212678,,,,
51,Tractor Unit,Curtain-Side 13.6M Trailer,BS20 7XL,CH6 5PU,51.489669,-2.720403,53.236513,-3.104777,2024-01-12 08:30:00+00:00,2024-01-15 13:30:00+00:00,UNKNOWN_1,UNKNOWN_2,196.0465345099233,,South West,Flint,Pill and Easton-in-Gordano
52,Tractor Unit,Box,S18 1PF,HP2 7PZ,53.304842,-1.482042,51.769105,-0.432735,2024-01-19 09:30:00+00:00,2024-01-19 16:00:00+00:00,SMALL,OKAY,184.97901319940277,East of England,East Midlands,"Dacorum, unparished area",Dronfield
53,Tractor Unit,Curtain-Side 13.6M Trailer,LS10 1SL,CH62 4TG,53.771668,-1.514934,53.346913,-2.988986,2024-01-16 17:30:00+00:00,2024-01-16 22:00:00+00:00,VERY SMALL,BAD,108.24182008538939,North West,Yorkshire and The Humber,"Wirral, unparished area",
54,Tractor Unit,Curtain-Side 13.6M Trailer,DN11 9HE,EH48 2FB,53.437595,-1.070426,55.877803,-3.648558,2024-01-16 13:59:00+00:00,2024-01-17 11:25:00+00:00,VERY SMALL,BAD,318.0499789607814,,Yorkshire and The Humber,,Tickhill
55,Tractor Unit,Curtain-Side 13.6M Trailer,DN8 5TE,CR6 9DZ,53.566639,-0.919839,51.304958,-0.035905,2024-01-10 18:00:00+00:00,2024-01-11 15:59:00+00:00,UNKNOWN_1,UNKNOWN_2,258.60329108474747,South East,Yorkshire and The Humber,Warlingham,Hatfield
56,Tractor Unit,Curtain-Side 13.6M Trailer,PE29 2XR,EH54 8QX,52.315672,-0.157664,55.896335,-3.53565,2024-01-18 15:56:00+00:00,2024-01-19 08:00:00+00:00,UNKNOWN_1,UNKNOWN_2,455.01128459815243,,East of England,,Godmanchester
57,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,DA1 5PR,53.295391,-1.066283,51.455653,0.242699,2024-01-14 19:54:00+00:00,2024-01-15 15:13:00+00:00,VERY SMALL,GOOD,223.09462206857572,South East,East Midlands,,
58,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-10 20:32:00+00:00,2024-01-11 02:30:00+00:00,VERY SMALL,VERY BAD,198.05846923330537,East Midlands,South West,,Coleford
59,Tractor Unit,Curtain-Side 13.6M Trailer,BS20 7XL,CH6 5PU,51.489669,-2.720403,53.236513,-3.104777,2024-01-15 08:30:00+00:00,2024-01-16 07:30:00+00:00,UNKNOWN_1,UNKNOWN_2,196.0465345099233,,South West,Flint,Pill and Easton-in-Gordano
60,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,SS14 3WF,53.462845,-2.896967,51.588475,0.466827,2024-01-18 12:01:00+00:00,2024-01-19 10:25:00+00:00,UNKNOWN_1,UNKNOWN_2,308.6222544059441,East of England,North West,,"Liverpool, unparished area"
61,Tractor Unit,Curtain-Side 13.6M Trailer,WA7 4HP,SM1 4RF,53.324964,-2.758291,51.36122,-0.191105,2024-01-17 14:00:00+00:00,2024-01-18 11:00:00+00:00,SMALL,OKAY,279.5031200310189,London,North West,"Sutton, unparished area","Halton, unparished area"
62,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,NN4 9BB,53.293393,-1.074008,52.219429,-0.945841,2024-01-10 15:15:00+00:00,2024-01-10 15:30:00+00:00,SMALL,GOOD,119.76794727557524,East Midlands,East Midlands,Hunsbury Meadows,
63,Tractor Unit,Curtain-Side 13.6M Trailer,LE3 8DX,JE2 3ND,52.648951,-1.2175,49.205063,-2.109092,2024-01-19 06:30:00+00:00,2024-01-19 21:00:00+00:00,UNKNOWN_1,UNKNOWN_2,388.1212540218977,,East Midlands,,Glenfields
64,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,N18 3BB,53.293393,-1.074008,51.614473,-0.042472,2024-01-12 23:59:00+00:00,2024-01-15 09:25:00+00:00,MEDIUM,OKAY,199.40110065426552,London,East Midlands,"Enfield, unparished area",
65,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-17 19:00:00+00:00,2024-01-18 03:00:00+00:00,VERY SMALL,VERY BAD,198.05846923330537,East Midlands,South West,,Coleford
66,Tractor Unit,Curtain-Side 13.6M Trailer,LS11 5LX,LL13 9UT,53.767204,-1.547784,53.048227,-2.914069,2024-01-11 15:30:00+00:00,2024-01-11 19:00:00+00:00,UNKNOWN_1,UNKNOWN_2,120.83704466085038,,Yorkshire and The Humber,Isycoed,
67,3.5T Van,Box,S35 2PW,DA1 1JQ,53.476537,-1.471065,51.433342,0.221489,2024-01-19 23:59:24+00:00,2024-01-20 04:30:00+00:00,UNKNOWN_1,UNKNOWN_2,254.56165515264453,South East,Yorkshire and The Humber,Wilmington,Ecclesfield
68,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,EN11 0EZ,53.295391,-1.066283,51.766224,0.009545,2024-01-17 23:51:00+00:00,2024-01-18 08:07:00+00:00,VERY SMALL,GOOD,185.00671574291476,East of England,East Midlands,"Broxbourne, unparished area",
69,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,NN6 7TZ,53.295391,-1.066283,52.35193,-1.144734,2024-01-17 05:00:00+00:00,2024-01-17 09:17:00+00:00,VERY SMALL,BAD,105.07338033783023,East Midlands,East Midlands,Crick,
70,Tractor Unit,Box,DN3 3FF,BT36 4PX,53.537912,-1.03357,54.671797,-6.000939,2024-01-18 23:00:00+00:00,2024-01-20 14:00:00+00:00,UNKNOWN_1,UNKNOWN_2,347.5348340876085,,Yorkshire and The Humber,,Armthorpe
71,3.5T Van,LWB Van,WR4 0SZ,DE74 2TR,52.193636,-2.221575,52.829374,-1.332134,2024-01-15 18:00:00+00:00,2024-01-15 20:30:00+00:00,BIG,GOOD,92.87280901369287,East Midlands,West Midlands,Castle Donington,Warndon
72,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-10 16:00:00+00:00,2024-01-11 22:00:00+00:00,UNKNOWN_1,UNKNOWN_2,198.05846923330537,East Midlands,South West,,Coleford
73,Tractor Unit,Temperature-Controlled,PE11 2BB,EN9 3BZ,52.802649,-0.133151,51.678414,-0.006624,2024-01-10 02:30:00+00:00,2024-01-10 06:30:00+00:00,UNKNOWN_1,UNKNOWN_2,125.34502211583886,East of England,East Midlands,Waltham Abbey,"South Holland, unparished area"
74,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,EH54 8QX,53.295391,-1.066283,55.896335,-3.53565,2024-01-12 12:56:00+00:00,2024-01-13 06:17:00+00:00,VERY SMALL,OKAY,330.12755578866904,,East Midlands,,
75,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-13 15:30:00+00:00,2024-01-13 21:30:00+00:00,VERY SMALL,VERY BAD,198.05846923330537,East Midlands,South West,,Coleford
76,Tractor Unit,Curtain-Side 13.6M Trailer,ME6 5PX,IG11 0DS,51.32487,0.446613,51.515717,0.100453,2024-01-18 09:30:00+00:00,2024-01-18 14:00:00+00:00,SMALL,OKAY,32.048964450924736,London,,"Barking and Dagenham, unparished area",
77,3.5T Van,LWB Van,SL3 0BB,SE14 5RW,51.470809,-0.514738,51.507218,-0.127586,2024-01-17 06:50:00+00:00,2024-01-17 09:35:00+00:00,UNKNOWN_1,UNKNOWN_2,27.117784832879845,London,South East,"Lewisham, unparished area",Colnbrook with Poyle
78,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,LU5 4RZ,53.293393,-1.074008,51.895243,-0.518813,2024-01-15 16:24:00+00:00,2024-01-16 15:55:00+00:00,VERY SMALL,GOOD,159.97501805482187,East of England,East Midlands,Dunstable,
79,Tractor Unit,Curtain-Side 13.6M Trailer,L33 3AN,NP6 3EA,53.470807,-2.849187,51.581585,-2.829734,2024-01-15 14:00:00+00:00,2024-01-16 08:00:00+00:00,SMALL,BAD,210.1419690958138,,North West,,"Knowsley, unparished area"
80,3.5T Van,LWB Van,E1W 2DA,CM22 7FD,51.508022,-0.05711,51.869555,0.216885,2024-01-19 19:35:00+00:00,2024-01-19 21:45:00+00:00,SMALL,GOOD,44.430353608873986,East of England,London,Great Hallingbury,"Tower Hamlets, unparished area"
81,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,DE72 2HP,53.462845,-2.896967,52.867015,-1.314862,2024-01-13 06:01:00+00:00,2024-01-15 05:25:00+00:00,VERY SMALL,OKAY,124.5856149820315,East Midlands,North West,Lockington-Hemington,"Liverpool, unparished area"
82,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,LE17 4XR,53.293393,-1.074008,52.463496,-1.250951,2024-01-17 13:59:00+00:00,2024-01-17 18:25:00+00:00,SMALL,BAD,93.07027213632539,East Midlands,East Midlands,Bitteswell with Bittesby,
83,7.5 T,Box,BD5 8LZ,CA6 4RD,53.765877,-1.742019,54.919263,-2.965315,2024-01-13 23:59:00+00:00,2024-01-14 03:00:00+00:00,UNKNOWN_1,UNKNOWN_2,150.82570454902373,North West,Yorkshire and The Humber,Kingmoor,"Bradford, unparished area"
84,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2024-01-17 13:00:00+00:00,2024-01-17 19:00:00+00:00,UNKNOWN_1,UNKNOWN_2,198.05846923330537,East Midlands,South West,,Coleford
85,Tractor Unit,Box,BD12 7ER,HP2 7PZ,53.753128,-1.722985,51.771553,-0.439081,2024-01-16 22:30:00+00:00,2024-01-17 02:30:00+00:00,SMALL,OKAY,236.73550930567035,East of England,Yorkshire and The Humber,"Dacorum, unparished area","Kirklees, unparished area"
86,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,NN6 7TZ,53.295391,-1.066283,52.35193,-1.144734,2024-01-11 18:56:00+00:00,2024-01-12 10:17:00+00:00,VERY SMALL,BAD,105.07338033783023,East Midlands,East Midlands,Crick,
